id baseMean baseMeanA baseMeanB foldChange log2FoldChange pval padj
CARHR001130 0.32399969435664 0 0.64799938871328 Inf Inf 0.65447868779856 1
CARHR001140 0 0 0 NA NA NA NA
CARHR001150 452.348808125916 433.532785652976 471.164830598856 1.08680322732501 0.12009075484521 0.399264090110619 1
CARHR001160 8.63292113001116 7.99497554811303 9.27086671190928 1.15958662488935 0.213610598017734 0.766252151855549 1
CARHR001170 0.160854665879122 0.321709331758244 0 0 -Inf 1 1
CARHR001180 17.5268760955005 14.4917370065415 20.5620151844596 1.41887857716284 0.504751133711146 0.252502035946668 1
CARHR001190 0.164467895373419 0.328935790746839 0 0 -Inf 1 1
CARHR001200 81.6434595400005 69.945121894271 93.3417971857299 1.33450045775637 0.41629980034892 0.0678441362442046 1
CARHR001210 9.10826541976706 9.97335344394885 8.24317739558528 0.826520131058494 -0.274878136078105 0.706388044547506 1
CARHR001220 29.7062291141562 29.3702214757385 30.0422367525738 1.02288083790551 0.0326380858690484 0.995196726583197 1
CARHR001230 47.8942952343169 44.6806216135051 51.1079688551288 1.14385089127052 0.193898999279732 0.498116563120797 1
CARHR001240 30.0845372658732 30.0566719653609 30.1124025663855 1.00185418402572 0.00267254516850265 1 1
CARHR001250 95.5035457210889 94.1080460101608 96.899045432017 1.02965739424188 0.0421643783297056 0.82539770316196 1
CARHR001260 9.13078620784292 8.95780369966681 9.30376871601903 1.03862163404687 0.0546701815753873 0.99714554479599 1
CARHR001270 10.5807609171311 11.9228255038303 9.23869633043194 0.774874741516929 -0.367964977271372 0.541229892794447 1
CARHR001280 71.3259648630499 68.728249313403 73.9236804126968 1.07559382279043 0.105133374850008 0.64043316463896 1
CARHR001290 23.6546598417801 25.3967129223687 21.9126067611916 0.862812712344814 -0.212880662128317 0.575669825122817 1
CARHR001300 541.033481330116 548.842479111123 533.22448354911 0.971543755892752 -0.041649122249224 0.774452434833038 1
CARHR001310 199.607737038567 204.56339435151 194.652079725623 0.951548933486817 -0.0716502457621814 0.71138937062694 1
CARHR001320 1.80108837713957 1.66865817442094 1.9335185798582 1.15872658013327 0.212540179785396 0.998640281712003 1
CARHR001330 239.066304009417 250.081820702337 228.050787316496 0.911904698534388 -0.133045035997389 0.443783856891687 1
CARHR001340 404.44037860495 315.046719514397 493.834037695503 1.56749461939068 0.648460490815701 4.7811283570126e-05 0.00561382248234876
CARHR001350 124.097830205749 109.435362373538 138.76029803796 1.26796581130993 0.342515846014715 0.0829291209191912 1
CARHR001360 711.775448854037 680.360864464666 743.190033243408 1.09234682954343 0.127430997116885 0.357838551746658 1
CARHR001370 1971.70633053535 2001.24068250401 1942.17197856669 0.970483958049757 -0.0432237292779866 0.755221711600534 1
CARHR001380 226.929273244944 208.959656430183 244.898890059704 1.17199125536239 0.228961805346866 0.186833743283401 1
CARHR001390 195.856868194348 198.664719886772 193.049016501925 0.971732759656332 -0.0413684881849476 0.844451668497895 1
CARHR001400 125.355450578739 134.210499473269 116.500401684209 0.8680423822386 -0.204162610797412 0.327759692267005 1
CARHR001410 14.189062371504 14.5061899245186 13.8719348184893 0.956276933548396 -0.0644996181037329 0.943848901099925 1
CARHR001420 880.190368796018 786.601194790389 973.779542801647 1.23795838253352 0.307962815100063 0.0387466015582853 0.924044317045988
CARHR001430 387.981044323074 366.723330343135 409.238758303014 1.11593325115176 0.158250735847835 0.314896293430713 1
CARHR001440 0 0 0 NA NA NA NA
CARHR001450 0 0 0 NA NA NA NA
CARHR001460 151.744415489329 162.991959562497 140.496871416162 0.861986516348923 -0.214262792798843 0.271924306994853 1
CARHR001470 8.10876878861076 7.59393863139311 8.62359894582841 1.13558975973005 0.183441744617624 0.837394571261936 1
