PF00212	IPR000663
PF00423	IPR000665
PF02113	IPR000667
PF00112	IPR000668
PF01750	IPR000671
PF01339	IPR000673
PF01315	IPR000674
PF01083	IPR000675
PF01254	IPR000678
PF00320	IPR000679
PF00921	IPR000680
PF01408	IPR000683
PF05001	IPR000684
PF00016	IPR000685
PF02106	IPR000686
PF01155	IPR000688
PF01269	IPR000692
PF00706	IPR000693
PF01829	IPR000696
PF00568	IPR000697
PF01365	IPR000699
PF01127	IPR000701
PF01214	IPR000704
PF02395	IPR000710
PF00213	IPR000711
PF01225	IPR000713
PF02053	IPR000714
PF00953	IPR000715
PF00086	IPR000716
PF01399	IPR000717
PF00069	IPR000719
PF00607	IPR000721
PF00623	IPR000722
PF01378	IPR000724
PF00182	IPR000726
PF05739	IPR000727
PF12349	IPR000731
PF00299	IPR000737
PF00458	IPR000738
PF01025	IPR000740
PF00274	IPR000741
PF00008	IPR000742
PF00295	IPR000743
PF01006	IPR000745
PF06617	IPR000751
PF01005	IPR000752
PF01093	IPR000753
PF00380	IPR000754
PF01427	IPR000755
PF00609	IPR000756
PF00722	IPR000757
PF06316	IPR000758
PF00459	IPR000760
PF01129	IPR000768
PF01815	IPR000769
PF01342	IPR000770
PF01116	IPR000771
PF00652	IPR000772
PF14200	IPR000772
PF01109	IPR000773
PF01346	IPR000774
PF02084	IPR000775
PF00523	IPR000776
PF00516	IPR000777
PF00715	IPR000779
PF01133	IPR000781
PF02469	IPR000782
PF01191	IPR000783
PF00513	IPR000784
PF01528	IPR000785
PF02073	IPR000787
PF02867	IPR000788
PF01111	IPR000789
PF01184	IPR000791
PF00196	IPR000792
PF00306	IPR000793
PF01104	IPR000797
PF00066	IPR000800
PF00756	IPR000801
PF02040	IPR000802
PF00475	IPR000807
PF00343	IPR000811
PF00352	IPR000814
PF01285	IPR000818
PF00883	IPR000819
PF01458	IPR000825
PF01219	IPR000829
PF01371	IPR000831
PF00002	IPR000832
PF01356	IPR000833
PF00246	IPR000834
PF01047	IPR000835
PF13463	IPR000835
PF00156	IPR000836
PF03532	IPR000839
PF01140	IPR000840
PF00356	IPR000843
PF01048	IPR000845
PF01113	IPR000846
PF00126	IPR000847
PF03512	IPR000852
PF00770	IPR000855
PF00784	IPR000857
PF00954	IPR000858
PF00431	IPR000859
PF00685	IPR000863
PF00280	IPR000864
PF00578	IPR000866
PF00219	IPR000867
PF00857	IPR000868
PF02066	IPR000869
PF00501	IPR000873
PF02044	IPR000874
PF00272	IPR000875
PF00228	IPR000877
PF00590	IPR000878
PF02058	IPR000879
PF00819	IPR000881
PF00115	IPR000883
PF00090	IPR000884
PF01410	IPR000885
PF01081	IPR000887
PF00908	IPR000888
PF00255	IPR000889
PF00871	IPR000890
PF00682	IPR000891
PF01283	IPR000892
PF00101	IPR000894
PF00372	IPR000896
PF00448	IPR000897
PF01231	IPR000898
PF00880	IPR000900
PF01369	IPR000904
PF00814	IPR000905
PF00791	IPR000906
PF00388	IPR000909
PF03122	IPR000912
PF00496	IPR000914
PF01159	IPR000915
PF00407	IPR000916
PF00884	IPR000917
PF02140	IPR000922
PF00127	IPR000923
PF00802	IPR000925
PF00835	IPR000928
PF00944	IPR000930
PF00421	IPR000932
PF01120	IPR000933
PF00943	IPR000936
PF00729	IPR000937
PF01302	IPR000938
PF00608	IPR000939
PF01234	IPR000940
PF01440	IPR000942
PF02082	IPR000944
PF01448	IPR000949
PF00836	IPR000956
PF00659	IPR000959
PF01258	IPR000962
PF02067	IPR000966
PF01422	IPR000967
PF00601	IPR000968
PF00042	IPR000971
PF00340	IPR000975
PF02165	IPR000976
PF00541	IPR000978
PF00017	IPR000980
PF14633	IPR000980
PF00184	IPR000981
PF00661	IPR000982
PF01246	IPR000988
PF01446	IPR000989
PF00876	IPR000990
PF00660	IPR000992
PF00557	IPR000994
PF01086	IPR000996
PF00629	IPR000998
PF00636	IPR000999
PF14622	IPR000999
PF00331	IPR001000
PF00187	IPR001002
PF00993	IPR001003
PF00249	IPR001005
PF00093	IPR001007
PF00603	IPR001009
PF00321	IPR001010
PF00789	IPR001012
PF00762	IPR001015
PF00676	IPR001017
